,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist,price
114,"(55.664, 55.666]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.01043433275298175,10000000.0
115,"(55.664, 55.666]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.004480546841619754,10000000.0
116,"(55.664, 55.666]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.0066162905014787825,10000000.0
117,"(55.664, 55.666]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.01341548731876619,10000000.0
118,"(55.664, 55.666]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.017001308773150398,10000000.0
119,"(55.664, 55.666]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Каховская,0.01918517135706918,10000000.0
120,"(55.664, 55.666]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.014000742837439493,10000000.0
121,"(55.664, 55.666]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.010741810834303214,10000000.0
122,"(55.664, 55.666]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.003403894827985932,12000.0
123,"(55.664, 55.666]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.004504053729694157,12000.0
124,"(55.664, 55.666]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.01122148385909703,10000000.0
125,"(55.664, 55.666]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Варшавская,0.01302196989705993,10000000.0
126,"(55.664, 55.666]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Каширская,0.016481468381184684,10000000.0
127,"(55.664, 55.666]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.01192429452840542,10000000.0
128,"(55.664, 55.666]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Каширская,0.01119101425252413,10000000.0
129,"(55.664, 55.666]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.013602679883023569,10000000.0
130,"(55.664, 55.666]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.012612806983381466,10000000.0
131,"(55.664, 55.666]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.015672680051607858,10000000.0
132,"(55.664, 55.666]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.021087505779491943,10000000.0
