price,latitude,longitude
122951,55.7575207,37.6162624
86400,55.749588,37.5371164
80000,55.749588,37.5371164
39996,55.8111073,37.7725038
15000,55.7336162,37.6097238
10000,55.754041,37.7352095
27000,55.7078911,37.6067215
30000,55.8023,37.594099
104478,55.7625783,37.598794
100524,55.7609288,37.656614
36600,55.7357884,37.4994795
125000,55.7395989,37.5897968
195980,55.7631057,37.6349303
195980,55.7631057,37.6349303
181495,55.771626,37.680374
114783,55.7768731,37.603013
47378,55.7732732,37.6287875
12000,55.7822972,37.7021735
24000,55.70285,37.648465
20000,55.7806184,37.5906064
115790,55.816642,37.498617
16000,55.7183168,37.6020128
31847,55.7856378,37.5960835
84806,55.75752,37.6257068
226202,55.7518524,37.6008837
35000,55.7331987,37.6093631
104192,55.7823797,37.5986669
41667,55.7538857,37.5246641
75000,55.7613539,37.6630378
231455,55.7629733,37.6305119
76800,55.779287,37.633347
84806,55.75752,37.6257068
27650,55.7639536,37.6576588
33334,55.7639536,37.6576588
21819,55.7653218,37.653795
10000,55.772474,37.6090417
15600,55.8047121,37.7262485
88492,55.7823797,37.5986669
240000,55.710014,37.662801
48769,55.7856378,37.5960835
99585,55.6915526,37.5381912
206897,55.8006737,37.5331013
231455,55.7629733,37.6305119
58427,55.7353294,37.58697
54702,55.8644475,37.5443744
11667,55.8180259,37.7262192
36000,55.8023,37.594099
211268,55.8006737,37.5331013
68096,55.807548,37.5795702
76463,55.807548,37.5795702
79669,55.6915526,37.5381912
110804,55.7629733,37.6305119
30000,55.7415623,37.6153883
24000,55.7415623,37.6153883
24000,55.7369214,37.6239094
24000,55.7465196,37.6812409
114833,55.8644475,37.5443744
197803,55.7626812,37.565948
197803,55.7626812,37.565948
22019,55.71748,37.597527
31200,55.8418164,37.4548994
104348,55.7684173,37.6486631
175825,55.7626812,37.565948
19200,55.6383049,37.6688111
80598,55.7867801,37.6563223
32000,55.6207855,37.7165625
90000,55.7065017,37.6575439
106739,55.7629733,37.6305119
33231,55.7598338,37.5835979
70000,55.749588,37.5371164
12000,55.7295101,37.5871809
25000,55.829511,37.4132827
57554,55.583871,37.595662
8760,55.7722422,37.5738725
24000,55.7379962,37.6558923
24000,55.7427059,37.4035982
9000,55.7670242,37.5723368
80325,55.7330295,37.6399477
193549,55.7330295,37.6399477
54702,55.8644475,37.5443744
9046,55.8641847,37.6513338
23952,55.7064905,37.6176545
18000,55.567774,37.496183
30000,55.7788889,37.7112203
120000,55.816642,37.498617
120000,55.710014,37.662801
34839,55.7127696,37.6455472
42000,55.6909134,37.6055047
21600,55.8051293,37.8040821
18000,55.549791,37.509721
1245,55.840813,37.4874594
18800,55.8265025,37.4493238
17535,55.594143,37.460664
7200,55.7970649,37.517567
19530,55.567774,37.496183
32680,55.8558097,37.5858389
23449,55.71748,37.597527
27904,55.8273707,37.4351553
24000,55.7715896,37.6738989
21109,55.814765,37.639392
26400,55.5649633,37.4985124
17000,55.7697885,37.6657315
108000,55.8636301,37.6073967
55933,55.708486,37.659622
50225,55.7065017,37.6575439
280646,55.7617755,37.6083006
28347,55.5991031,37.7259912
24000,55.7013502,37.7475674
16174,55.7294476,37.6705081
12000,55.6035597,37.3538381
169957,55.7626812,37.565948
51712,55.7483116,37.6551015
22000,55.7357884,37.4994795
90984,55.7787154,37.5894314
24000,55.7932498,37.7704282
7245,55.853976,37.569351
218605,55.7526307,37.5980259
23623,55.7120381,37.6149189
7285,55.853976,37.569351
50000,55.81434,37.601699
32244,55.678458,37.564248
90000,55.7065017,37.6575439
83030,55.7409245,37.6234849
30983,55.7738839,37.628107
35000,55.7500375,37.5869558
20968,55.8322318,37.6411127
187952,55.678458,37.564248
93380,55.7311277,37.6338902
